280463.tsv:SRR17239050	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - size fraction 0-800bp - SMRT cell 1	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1633228	2023-05-20
280463.tsv:SRR17239055	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - size fraction 5000-10000bp - SMRT cell 2	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	362730	2023-05-10
280463.tsv:SRR17239057	Sequel sequencing: Unfractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - low Phosphate - Std cDNA protocol - SMRT cell 4	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	22280020	2023-06-05
280463.tsv:SRR17239064	PacBio RS II sequencing: Size-fractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - GC cDNA protocol - size fraction 1000-2500bp - SMRT cell 1	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	1278089	2023-05-10
280463.tsv:SRR17239065	Sequel sequencing: Unfractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - SMRT cell 6	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	12500587	2023-05-10
280463.tsv:SRR17239066	Sequel sequencing: Unfractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - Std cDNA protocol - SMRT cell 5	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	16123267	2023-05-10
280463.tsv:SRR17239067	Sequel sequencing: Unfractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - low Phosphate - Std cDNA protocol - SMRT cell 6	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	14789238	2023-05-13
280463.tsv:SRR17239073	Sequel sequencing: Unfractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in dark phase - Std cDNA protocol - SMRT cell 4	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	17830503	2023-05-10
280463.tsv:SRR17239076	Sequel sequencing: Unfractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in light phase - low Ca - Std cDNA protocol - SMRT cell 3	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	16442231	2023-05-13
280463.tsv:SRR17239080	Sequel sequencing: Unfractionated Iso-seq of Emiliania huxleyi AWI1516 - calcified cells 6h in dark phase - Std cDNA protocol - SMRT cell 1	280463	1;131567;2759;2608109;2830;2608131;73020;418966;2902;2903;280463	Emiliania huxleyi CCMP1516	TRANSCRIPTOMIC	FL-cDNA	PACBIO_SMRT	18967384	2023-05-20
